Claim Date,Customer ID,Customer Zip Code,DB Update Date,Insurance Expiry Date,Insurance Status,Model Line,Original Source,Product Production Date,Status,Sub Model Line,Sub Status,Vendor ID,Holding Fee,Insurance Amount,Storage Fee,Total Acquisition Cost
27/09/2007,J12719311,2074,3/03/2007,,Unknown Status,SL-300,State,2/07/1996,COMPLETE,Dual Phase,Complete,200084,0,4632,28,27008
,J12925723,2074,9/04/2008,,Unknown Status,SL-300,State,19/03/2003,INCOMPLETE,Dual Phase,Incomplete,,0,1808,876,21020
17/06/2008,J12914395,2074,17/07/2008,,Unknown Status,Core,State,2/12/2003,COMPLETE,Dual Phase,Complete,19376,0,1388,596,14092
8/09/2007,J12764232,2074,5/09/2009,,Unknown Status,Core,Corporate System,6/06/1998,COMPLETE,Compact,Complete,204852,0,612,600,20648
8/12/2007,J12800757,2074,30/10/2008,,Unknown Status,Core,Corporate System,8/11/1997,COMPLETE,Compact,Complete,150456,0,1440,28,19316
25/02/2008,J12899132,2074,21/12/2007,,Unknown Status,Core,State,30/05/2002,COMPLETE,Compact,Complete,150456,0,1048,388,19056
5/04/2008,J12884249,2074,20/03/2011,,Unknown Status,Core,Corporate System,31/10/2001,COMPLETE,Compact,Complete,150456,0,1188,536,20860
,J12845509,2074,19/12/2007,,Unknown Status,Core,State,28/08/2001,INCOMPLETE,Compact,Incomplete,,0,176,380,75400
,J13029121,,24/06/2009,1/10/2009,Expired Over 2 Years Ago,SL-300,Public Company,18/07/2002,INCOMPLETE,Dual Phase,Incomplete,,0,2324,484,57356
17/01/2008,J12862736,2650,10/02/2008,,Unknown Status,Core,State,22/03/2001,COMPLETE,Compact,Complete,26460,0,372,260,21348
20/06/2005,J12549782,2076,8/11/2009,19/08/2009,Expired Over 2 Years Ago,Core,Corporate System,14/07/1993,COMPLETE,Dual Phase,Complete,35500,0,444,12,26440
,J12602679,2076,21/07/2005,,Unknown Status,Yard,State,1/06/1997,INCOMPLETE,5 Phase,Incomplete,,0,148,20,35680
14/09/2007,J12671027,2076,11/03/2011,,Unknown Status,Adventure,Corporate System,2/12/1996,COMPLETE,Large,Complete,149088,0,580,1268,21500
5/01/2008,J12808233,2076,17/01/2008,,Unknown Status,SL-300,State,7/07/2000,COMPLETE,Dual Phase,Complete,149712,0,8,1152,48900
23/01/2008,J12787356,2076,1/09/2007,,Unknown Status,SL-400,State,19/02/2002,COMPLETE,2 Piece,Complete,200084,0,4592,328,16964
3/01/2008,J12820418,2076,3/02/2010,,Unknown Status,Core,Corporate System,21/07/1997,COMPLETE,Compact,Complete,150456,0,136,556,14800
15/03/2008,J12916782,,12/06/2008,,Unknown Status,Core,Technical Doc,21/02/1998,COMPLETE,Compact,Complete,145808,0,1016,676,87720
26/07/2005,J12555934,4810,14/09/2009,2/11/2009,Expired Over 2 Years Ago,Core,State-Public,13/09/1993,COMPLETE,Dual Phase,Complete,32896,0,872,52,73200
15/04/2007,J12664110,4810,26/04/2010,29/06/2010,Recently Expired,Yard,State-Public,26/10/1997,COMPLETE,Dual Phase,Complete,32896,0,76,560,94520
7/04/2007,J12664103,4810,9/11/2009,26/10/2010,Recently Expired,Yard,State-Public,8/08/1998,COMPLETE,Dual Phase,Complete,32896,0,320,568,16560
18/07/2009,J13027101,4810,11/06/2010,9/01/2011,Recently Expired,Yard,State,25/08/1995,COMPLETE,3 Phase,Complete,32896,0,836,472,14120
9/10/2007,J12694787,4810,29/10/2007,,Unknown Status,Bat,Public Company,13/08/1993,COMPLETE,3 Phase,Complete,32896,0,780,136,87960
,J12784836,4810,6/11/2007,,Unknown Status,Bat,State,26/04/1993,INCOMPLETE,3 Phase,Incomplete,,0,740,92,11240
17/11/2007,J12786926,4810,26/11/2009,3/03/2010,Expired Over 2 Years Ago,Core,State-Public,25/01/1997,COMPLETE,Compact,Complete,149700,0,292,60,42840
13/02/2006,J12561663,4810,29/06/2005,,Unknown Status,Yard,Public Company,6/10/1995,COMPLETE,5 Phase,Complete,32896,0,1432,800,24776
1/12/2007,J12753986,4810,21/10/2007,,Unknown Status,Yard,State,27/09/2001,COMPLETE,5 Phase,Complete,32896,0,1024,1056,19948
10/05/2008,J12895141,4810,12/04/2008,,Unknown Status,Adventure,Public Company,27/12/1999,COMPLETE,Large,Complete,32896,0,384,564,21852
18/09/2007,J12706807,4810,7/09/2008,,Unknown Status,SL-300,Public Company,29/09/1999,COMPLETE,Dual Phase,Complete,201012,0,4600,116,34600
23/11/2007,J12781040,4810,9/06/2008,,Unknown Status,Core,Public Company,28/01/1998,COMPLETE,Compact,Complete,32896,0,644,568,24072
,J12634383,3113,23/02/2010,28/08/2010,Recently Expired,Core,State-Public,27/05/1993,INCOMPLETE,Single Phase,Incomplete,,0,472,108,10644
,J12561817,3113,7/09/2010,19/10/2010,Recently Expired,Core,State-Public,5/06/1992,INCOMPLETE,Compact,Incomplete,,0,1492,124,14488
2/05/2010,J13034915,3113,20/03/2010,4/04/2010,Recently Expired,Yard,Corporate System,19/09/1999,COMPLETE,5 Phase,Complete,148716,0,668,780,31092
,J12875243,3113,27/06/2009,,Unknown Status,Core,Corporate System,15/07/2000,INCOMPLETE,Dual Phase,Incomplete,,0,1660,52,15236
17/10/2008,J12987784,,11/02/2009,,Unknown Status,Core,Corporate System,14/12/1997,COMPLETE,Compact,Complete,147608,0,240,0,68400
7/06/2006,J12617914,2068,31/10/2009,7/07/2010,Recently Expired,Core,Corporate System,8/02/1997,COMPLETE,Dual Phase,Complete,149088,0,668,68,10520
30/09/2008,J12932925,2068,17/08/2008,,Unknown Status,Yard,Corporate System,9/10/2003,COMPLETE,Dual Phase,Complete,149088,0,484,1160,18548
24/08/2005,J12556443,2068,1/12/2009,4/07/2010,Recently Expired,Core,Corporate System,7/04/1993,COMPLETE,Single Phase,Complete,149088,0,352,28,11304
,J12653201,2068,29/01/2010,5/06/2010,Recently Expired,Core,Corporate System,24/11/1992,INCOMPLETE,Compact,Incomplete,,0,1044,112,10784
3/09/2007,J12688232,2068,13/01/2010,9/11/2010,Recently Expired,Core,Corporate System,15/02/1996,COMPLETE,Compact,Complete,149088,0,1052,16,12360
1/02/2006,J12572703,2068,28/02/2010,15/09/2010,Recently Expired,Core,Corporate System,21/05/1996,COMPLETE,Compact,Complete,149088,0,212,12,16864
15/11/2006,J12637110,2068,31/12/2007,,Unknown Status,Yard,Public Company,19/03/1998,COMPLETE,5 Phase,Complete,149088,0,1276,172,24440
17/11/2007,J12793322,2068,11/12/2007,,Unknown Status,Yard,Public Company,24/09/2000,COMPLETE,5 Phase,Complete,149088,0,664,156,53720
8/06/2008,J12907770,2068,7/01/2010,29/06/2010,Recently Expired,Adventure,Corporate System,1/05/1992,COMPLETE,Large,Complete,149700,0,768,120,77080
20/05/2005,J12552113,2068,20/11/2009,13/05/2010,Recently Expired,Adventure,Corporate System,7/04/1993,COMPLETE,Large,Complete,149088,0,820,64,12428
17/12/2007,J12731288,2068,7/02/2011,,Unknown Status,Core,Corporate System,30/07/1997,COMPLETE,Dual Phase,Complete,149088,0,784,364,40400
30/12/2007,J12790251,2068,8/12/2007,,Unknown Status,Core,Public Company,6/10/1999,COMPLETE,Compact,Complete,149088,0,1228,120,20040
9/12/2007,J12799830,2068,25/01/2008,,Unknown Status,Core,Public Company,27/07/1997,COMPLETE,Compact,Complete,149088,0,600,248,18696
28/04/2008,J12907450,2068,25/10/2011,,Unknown Status,Core,Corporate System,1/01/2002,COMPLETE,Compact,Complete,204852,0,212,124,22868
,J13004473,2500,26/02/2009,31/10/2009,Expired Over 2 Years Ago,Core,Public Company,18/07/1995,INCOMPLETE,Compact,Incomplete,,0,8,0,0
10/05/2006,J12567615,2500,23/11/2009,15/05/2010,Recently Expired,Core,Public Company,11/03/1993,COMPLETE,Dual Phase,Complete,147708,0,996,132,29200
17/03/2006,J12556697,2500,16/06/2011,15/04/2011,Recently Expired,Core,Corporate System,29/05/1995,COMPLETE,Dual Phase,Complete,147708,0,1112,128,41680
,J12630981,2500,23/10/2009,28/01/2010,Recently Expired,Yard,Public Company,2/05/1998,INCOMPLETE,Dual Phase,Incomplete,,0,680,232,60560
,J12970670,2500,1/09/2008,,Unknown Status,Bat,Public Company,1/06/1993,INCOMPLETE,5 Phase,Incomplete,,0,188,328,65040
15/11/2007,J12774906,2500,12/12/2007,,Unknown Status,Yard,Public Company,4/06/2000,COMPLETE,5 Phase,Complete,147708,0,852,280,10976
,J12925217,2500,27/05/2008,,Unknown Status,Core,Public Company,27/02/2000,INCOMPLETE,Dual Phase,Incomplete,,0,308,316,11320
,J13004049,3995,2/01/2009,,Unknown Status,Rook,Technical Doc,21/08/2000,INCOMPLETE,5 Phase,Incomplete,,0,288,192,64480
23/09/2008,J12980160,5558,24/10/2008,,Unknown Status,Yard,Public Company,27/10/1999,COMPLETE,3 Phase,Complete,144388,0,964,828,13972
,J12914679,6208,15/05/2008,,Unknown Status,Yard,Public Company,25/12/1995,INCOMPLETE,3 Phase,Incomplete,,0,468,324,14004
,J12876246,6208,4/10/2011,,Unknown Status,Core,Corporate System,21/05/2002,INCOMPLETE,Compact,Incomplete,,0,1552,520,25564
,J13041465,6401,21/12/2010,28/12/2010,Recently Expired,Core,State-Public,7/05/1993,INCOMPLETE,Dual Phase,Incomplete,,0,368,0,28040
25/11/2010,J13041304,6401,1/01/2011,27/02/2011,Recently Expired,Core,State-Public,18/08/1993,COMPLETE,Compact,Complete,150380,0,96,0,67600
14/04/2011,J13042731,6401,27/04/2011,2/07/2011,Recently Expired,Core,Corporate System,28/10/1993,COMPLETE,Compact,Complete,150380,0,324,0,21480
5/08/2009,J13031171,6401,19/10/2011,13/09/2009,Expired Over 2 Years Ago,Yard,Corporate System,14/06/2006,COMPLETE,Dual Phase,Complete,148080,0,336,392,24440
20/07/2007,J12689416,6401,26/11/2009,8/01/2010,Expired Over 2 Years Ago,Yard,State-Public,7/06/1997,COMPLETE,Dual Phase,Complete,150380,0,32,336,20476
,J12704001,6401,27/07/2007,,Unknown Status,Bat,State,7/10/1993,INCOMPLETE,3 Phase,Incomplete,,0,696,228,13432
4/07/2006,J12606774,6401,11/06/2005,,Unknown Status,Yard,State,21/07/1996,COMPLETE,3 Phase,Complete,145248,0,824,1040,91040
18/06/2006,J12595577,6401,23/08/2005,,Unknown Status,Yard,State,3/12/1996,COMPLETE,3 Phase,Complete,145248,0,968,1288,17728
,J12607977,6401,1/09/2005,,Unknown Status,Yard,State,13/12/1997,INCOMPLETE,3 Phase,Incomplete,,0,1264,156,26656
,J12563497,6401,27/10/2009,18/07/2010,Recently Expired,Core,State-Public,17/08/1996,INCOMPLETE,Compact,Incomplete,,0,764,16,61960
,J12729255,6401,4/08/2007,,Unknown Status,Yard,State,25/12/1998,INCOMPLETE,5 Phase,Incomplete,,0,564,384,74480
24/08/2008,J12936866,6401,10/06/2008,,Unknown Status,Yard,State,11/03/2001,COMPLETE,5 Phase,Complete,150380,0,936,1312,25996
17/10/2009,J13030034,6401,4/07/2009,20/09/2009,Expired Over 2 Years Ago,SL-300,State-Public,22/11/1997,COMPLETE,Dual Phase,Complete,147788,0,4188,372,76900
17/10/2007,J12725832,6401,21/04/2008,,Unknown Status,Core,Public Company,29/03/1999,COMPLETE,Dual Phase,Complete,150380,0,1052,488,60800
15/02/2008,J12858379,6401,15/10/2008,,Unknown Status,Core,State,12/09/2000,COMPLETE,Dual Phase,Complete,150380,0,1808,156,51880
1/02/2008,J12876120,6401,2/11/2011,,Unknown Status,Core,Corporate System,3/07/2002,COMPLETE,Compact,Complete,23896,0,792,216,25608
,J12828600,6401,27/05/2008,,Unknown Status,Core,State,24/06/2000,INCOMPLETE,Compact,Incomplete,,0,524,76,13304
19/01/2008,J12857604,6401,23/08/2008,,Unknown Status,Core,State,21/03/2002,COMPLETE,Compact,Complete,150380,0,196,564,14076
,J12722474,6401,9/10/2007,,Unknown Status,Core,State,27/11/1997,INCOMPLETE,Compact,Incomplete,,0,100,368,48280
26/08/2007,J12683596,6535,6/10/2009,,Unknown Status,Bat,Corporate System,20/06/1993,COMPLETE,3 Phase,Complete,27328,0,8,260,62880
22/08/2006,J12627852,6535,20/12/2011,,Unknown Status,Yard,Corporate System,3/02/1997,COMPLETE,5 Phase,Complete,205160,0,400,792,16812
,J12614484,2762,23/11/2009,5/04/2010,Recently Expired,Yard,State-Public,16/02/1998,INCOMPLETE,Dual Phase,Incomplete,,0,256,388,19228
19/07/2005,J12556208,2762,25/08/2010,2/10/2010,Recently Expired,Core,Public Company,30/01/1993,COMPLETE,Single Phase,Complete,35236,0,548,60,14148
